,model,cv_score,prediction,drop_zeros_var,imputation_var,remove_outliers_var,remove_duplicates_var,encoder_var,feature_ing_var,delete_features_var
2,Random Forest,-569.3594718928819,554.4200716156582,0,0,1,1,1,0,0
5,Random Forest,-572.3693172142678,557.1713071377931,0,1,1,0,1,0,0
10,Random Forest,-573.2460379897559,559.6222832007534,1,0,1,1,1,0,0
14,Random Forest,-573.560828228159,559.6426272576235,1,1,1,1,1,0,0
13,Random Forest,-572.4356084565003,560.1228199334935,1,1,1,0,1,0,0
9,Random Forest,-571.8790974565705,560.1617284433632,1,0,1,0,1,0,0
6,Random Forest,-574.7759242410548,561.2590743232308,0,1,1,1,1,0,0
1,Random Forest,-563.6454787863065,571.0452854203714,0,0,1,0,1,0,0
0,Random Forest,-571.2976300683279,576.7493730998004,0,0,0,1,1,0,0
4,Random Forest,-571.9792335429514,577.1458058097792,0,1,0,1,1,0,0
12,Random Forest,-570.2666718066743,578.1692118879284,1,1,0,1,1,0,0
8,Random Forest,-572.3504989633241,578.2169584898451,1,0,0,1,1,0,0
11,Random Forest,-568.5606253437905,580.0820111402868,1,1,0,0,1,0,0
3,Random Forest,-567.2137504905284,582.8746488154743,0,1,0,0,1,0,0
7,Random Forest,-567.7947829104198,586.1618793130032,1,0,0,0,1,0,0
